City ST,City,ST,State,Lat,Lng,,,,
Aaronsburg PA,Aaronsburg,PA,Pennsylvania,40.9042,-77.4513,,,,
Abanda AL,Abanda,AL,Alabama,33.0926,-85.5253,,,,
Abbeville LA,Abbeville,LA,Louisiana,29.9751,-92.1265,,,,
Abbeville AL,Abbeville,AL,Alabama,31.5664,-85.2528,,,,
Abbeville GA,Abbeville,GA,Georgia,31.9925,-83.3068,,,,
Abbeville MS,Abbeville,MS,Mississippi,34.5034,-89.5025,,,,
Abbeville SC,Abbeville,SC,South Carolina,34.1787,-82.3774,,,,
Abbotsford WI,Abbotsford,WI,Wisconsin,44.9437,-90.3154,,,,
Abbott VA,Abbott,VA,Virginia,37.4293,-80.1395,,,,
Abbott WV,Abbott,WV,West Virginia,38.9218,-80.3215,,,,
Abbott TX,Abbott,TX,Texas,31.8874,-97.0805,,,,
Abbott AR,Abbott,AR,Arkansas,35.0734,-94.1938,,,,
Abbottsburg NC,Abbottsburg,NC,North Carolina,34.5171,-78.725,,,,
Abbottstown PA,Abbottstown,PA,Pennsylvania,39.8843,-76.9888,,,,
Abbyville KS,Abbyville,KS,Kansas,37.9704,-98.204,,,,
Abell TX,Abell,TX,Texas,35.3934,-101.4588,,,,
Abercrombie ND,Abercrombie,ND,North Dakota,46.447,-96.7293,,,,
Aberdeen WA,Aberdeen,WA,Washington,46.9768,-123.8083,,,,
Aberdeen NC,Aberdeen,NC,North Carolina,35.1345,-79.4314,,,,
Aberdeen IN,Aberdeen,IN,Indiana,41.4418,-87.1166,,,,
Aberdeen ID,Aberdeen,ID,Idaho,42.9441,-112.8384,,,,
Aberdeen MD,Aberdeen,MD,Maryland,39.5146,-76.1731,,,,
Aberdeen OH,Aberdeen,OH,Ohio,38.6714,-83.7705,,,,
Aberdeen MS,Aberdeen,MS,Mississippi,33.8287,-88.5539,,,,
Aberdeen KY,Aberdeen,KY,Kentucky,37.2539,-86.6817,,,,
Aberdeen SD,Aberdeen,SD,South Dakota,45.4647,-98.4678,,,,
Aberdeen Gardens WA,Aberdeen Gardens,WA,Washington,47.0587,-123.7792,,,,
Aberfoil AL,Aberfoil,AL,Alabama,32.0704,-85.6877,,,,
Abernant AL,Abernant,AL,Alabama,33.2904,-87.1981,,,,
Abernathy TX,Abernathy,TX,Texas,33.837,-101.8155,,,,
Abeytas NM,Abeytas,NM,New Mexico,34.4652,-106.8137,,,,
Abie NE,Abie,NE,Nebraska,41.3339,-96.9494,,,,
Abilene TX,Abilene,TX,Texas,32.4543,-99.7384,,,,
Abilene KS,Abilene,KS,Kansas,38.9229,-97.2247,,,,
Abingdon VA,Abingdon,VA,Virginia,36.7089,-81.9711,,,,
Abingdon IL,Abingdon,IL,Illinois,40.8039,-90.4009,,,,
Abingdon IA,Abingdon,IA,Iowa,41.0822,-92.1391,,,,
Abingdon MD,Abingdon,MD,Maryland,39.4623,-76.2791,,,,
Abington PA,Abington,PA,Pennsylvania,40.1207,-75.118,,,,
Abington MA,Abington,MA,Massachusetts,42.1181,-70.959,,,,
Abiquiu NM,Abiquiu,NM,New Mexico,36.2017,-106.3239,,,,
Abita Springs LA,Abita Springs,LA,Louisiana,30.4765,-90.0293,,,,
Abo NM,Abo,NM,New Mexico,34.4559,-106.3331,,,,
Aboite IN,Aboite,IN,Indiana,41.0009,-85.318,,,,
Abraham UT,Abraham,UT,Utah,39.3966,-112.718,,,,
Abram TX,Abram,TX,Texas,26.2181,-98.418,,,,
Abrams WI,Abrams,WI,Wisconsin,44.7796,-88.0605,,,,
Absarokee MT,Absarokee,MT,Montana,45.5242,-109.4473,,,,
Absecon NJ,Absecon,NJ,New Jersey,39.4221,-74.4941,,,,
Acampo CA,Acampo,CA,California,38.1735,-121.2798,,,,
Accident MD,Accident,MD,Maryland,39.6257,-79.32,,,,
Accokeek MD,Accokeek,MD,Maryland,38.6745,-77.0023,,,,
Accomac VA,Accomac,VA,Virginia,37.7195,-75.6675,,,,
Accord NY,Accord,NY,New York,41.7972,-74.2319,,,,
Accord MA,Accord,MA,Massachusetts,42.1745,-70.8837,,,,
Accoville WV,Accoville,WV,West Virginia,37.7653,-81.827,,,,
Ace TX,Ace,TX,Texas,30.5363,-94.8244,,,,
Acequia ID,Acequia,ID,Idaho,42.6676,-113.5967,,,,
Achille OK,Achille,OK,Oklahoma,33.8347,-96.3901,,,,
Achilles VA,Achilles,VA,Virginia,37.2801,-76.4402,,,,
Ackerly TX,Ackerly,TX,Texas,32.5251,-101.7158,,,,
Ackerman MS,Ackerman,MS,Mississippi,33.311,-89.1711,,,,
Ackermanville PA,Ackermanville,PA,Pennsylvania,40.835,-75.2226,,,,
Ackley IA,Ackley,IA,Iowa,42.5519,-93.0528,,,,
Ackworth IA,Ackworth,IA,Iowa,41.3663,-93.4747,,,,
Acme WA,Acme,WA,Washington,48.7146,-122.2293,,,,
Acme WY,Acme,WY,Wyoming,44.9105,-106.9851,,,,
Acme LA,Acme,LA,Louisiana,31.2857,-91.8204,,,,
Acomita NM,Acomita,NM,New Mexico,35.0553,-107.5717,,,,
Acomita Lake NM,Acomita Lake,NM,New Mexico,35.066,-107.6171,,,,
Acorn VA,Acorn,VA,Virginia,38.0193,-76.6491,,,,
Acra NY,Acra,NY,New York,42.3109,-74.0554,,,,
Acree GA,Acree,GA,Georgia,31.5555,-83.996,,,,
Acres Green CO,Acres Green,CO,Colorado,39.5558,-104.8957,,,,
Acton CA,Acton,CA,California,34.4956,-118.1858,,,,
Acton MT,Acton,MT,Montana,45.9305,-108.6807,,,,
Acworth GA,Acworth,GA,Georgia,34.0564,-84.6688,,,,
Acy LA,Acy,LA,Louisiana,30.2188,-90.8204,,,,
Ada WI,Ada,WI,Wisconsin,43.8769,-87.8956,,,,
Ada LA,Ada,LA,Louisiana,32.546,-93.1404,,,,
Ada OK,Ada,OK,Oklahoma,34.7683,-96.6689,,,,
Ada OH,Ada,OH,Ohio,40.768,-83.8252,,,,
Ada MN,Ada,MN,Minnesota,47.2991,-96.5166,,,,
