,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
1,1/18/2019,1/10/2018,"{rjl} I witnessed several times usually 2 colorful objects at times 3 that swaying like in between magnets, once a 3rd appeared overhead but flamelike white toplike, seen red sphere drop from coloredht","Sebastopol, CA, US",,
,,12:00AM,,,,
2,9/15/2018,1/22/2018,"{cak} addendum to Jan 22, 2018 sighting Antioch Calif","San Leandro, CA, US",,
,,12:00AM,,,,
3,5/13/2018,1/11/2018,{cak} Attached video as viewed on my infrared security camera for 7 plus minutes.,"Grass Valley, CA, US",,0539281Trim.mp4corvairsaucer.mp4shortest.mp4
,,5:46PM,,,,
4,3/1/2018,1/24/2018,{td}I got to work at home and when I got out of the car I saw a light in the sky and I started to record it,"lakewood, CA, US",,DSC02398.JPG
,,5:52PM,,,,DSC02400.JPG
,,,,,,DSC02401.JPG
,,,,,,DSC02411.JPG
,,,,,,00016.MTS
5,2/23/2018,1/31/2018,{rjl} Accidentally filmed with camera on video while setting up tripod to take moon pics.,"Paradise, CA, US",,UFO13118.MP4
,,8:15PM,,,,
6,2/22/2018,1/24/2018,{rjl} get off the car and look at the sky and there was a bright object,"long beach california, CA, US",,00016.MTS
,,5:50PM,,,,DSC02398.JPG
,,,,,,DSC02401.JPG
,,,,,,DSC02411.JPG
,,,,,,DSC02406.JPG
7,2/17/2018,1/17/2018,{cak} Moorish alien or Pleiades entity Speaks English And is attached to my body aura it wont go away,"Oakland , CA, US",,
,,12:00AM,,,,
8,2/16/2018,1/22/2018,"{cak} Star like light during day flys in, hovers, then changes directions, and disappears","Culver City, CA, US",,UFO.JPG
,,12:25PM,,,,ScreenShot20180216at8.43.29PM.png
9,2/9/2018,1/3/2018,{jpg} It was way above our atmosphere but it was massive in size like the size of a small City rectangular shaped completely covered in white lights like a checkerboard,"San Diego, CA, US",,
,,3:00AM,,,,
10,2/7/2018,1/6/2018,{jpg} Bright but fuzzy star like object in the South West clear sky,"Stockton, CA, US",,
,,6:25PM,,,,
11,1/31/2018,1/31/2018,"{td}During lunar eclipse, blue blood moon, object flew by moon","Los Angeles, CA, US",,LivestreamSuperbluebloodmooneclipse4.mp4
,,12:00AM,,,,
12,1/30/2018,1/29/2018,"{td}Black silent object, rotating or shape shifting","CA, US",,20180129174146.mp4
,,5:42PM,,,,20180129174223.mp4
,,,,,,20180129174238.mp4
,,,,,,20180129174325.mp4
,,,,,,20180129174459.mp4
13,1/29/2018,1/28/2018,{dr}Boomerang shaped,"Sacramento, CA, US",,C454BF51880E46069FC9B4AFADB185B3.MOV
,,7:30PM,,,,03CD034893324ED8878EC2302BDC4B65.MOV
14,1/27/2018,1/26/2018,{jpg} 2nd Sighting of Pulsating Red Orb,"Campbell , CA, US",,
,,11:37PM,,,,
15,1/25/2018,1/25/2018,"{jpg} Star-like object flying in straight line slows, moves around, then becomes stationary. Dim objects coming and going from object.","CUPERTINO, CA, US",,ufo.jpg
,,5:30AM,,,,ufo2.jpg
16,1/24/2018,1/24/2018,{jpg} 25 +/- dull white orbs hovered then left to high altitude out of sight,"Menifee, CA, US",,IMG698096998.jpg
,,12:00AM,,,,IMG558783032.jpg
,,,,,,20180124145215.mp4
,,,,,,20180124145006.mp4
17,1/24/2018,1/23/2018,"{jpg} solid copper light traveling from east to west, dimmed and flashed twice","victorville, CA, US",,VID20180123214044.mp4
,,9:45PM,,,,
18,1/23/2018,1/22/2018,{jpg} Metallic object shaped like the letter A. Two big lights/thrusters/Plasma lights on bottom. Hoovering then floating away eastward,"Claremont, CA, US",,20180122220050.JPG
,,10:30AM,,,,20180122220105.JPG
,,,,,,20180122220114.JPG
,,,,,,20180122220205.JPG
,,,,,,20180122220218.JPG
19,1/23/2018,1/22/2018,"{jpg} traveling east bound Hwy 4 about 21:10 saw what I thought was a large plane and when pointed out to my wife she said it just hovering. I lookes back over head and saw a large black Triangle with a white light at each point, leading light was flashi","Antioch, CA, US",,
,,9:10PM,,,,
20,1/22/2018,1/19/2018,{jpg} Was abducted in a dream and couldn't remember what was said to me and then the next day I was using Siri to text someone and said talk. Then my iPhone responded with what I believe to be Latin and and untranslated phrase.,"West Hollywood, CA, US",,IMG1519.PNG
,,12:00AM,,,,IMG1518.PNG
21,1/19/2018,1/19/2018,"{rjl} Two bright lights materialized, then disappeared one after the other","Mammoth Lakes, CA, US",,
,,4:45PM,,,,
22,1/18/2018,1/2/2018,{rjl} JUST HOVERED ABOVE THE SIGNAL LIGHTS,"IRWINDALE, CA, US",,
,,12:00AM,,,,
23,1/16/2018,1/13/2018,{rjl} Periodic flashing or,"Yorba Linda, CA, US",,orb3.JPG
,,6:30PM,,,,orb2.JPG
,,,,,,Orb.JPG
,,,,,,IMG9532991.3gp
24,1/15/2018,1/14/2018,"{rjl} observed one coming over horizon followed by 3 more then ascend then more coming over horizon then ascend also several more same but in different areas , see pics","crescent, CA, US",,235.JPG
,,7:50PM,,,,236.JPG
,,,,,,237.JPG
,,,,,,238.JPG
,,,,,,239.JPG
25,1/14/2018,1/14/2018,{rjl} bright yellow red lrg golfball shape moving in a line east and disappeared in thin air,"chula vista, CA, US",,
,,5:30PM,,,,
