Date Submitted,Date of Sighting,City,ST,Short Description
1/18/2019,1/10/2018,Sebastopol, CA,"{rjl} I witnessed several times usually 2 colorful objects at times 3 that swaying like in between magnets, once a 3rd appeared overhead but flamelike white toplike, seen red sphere drop from coloredht"
9/15/2018,1/22/2018,San Leandro, CA,"{cak} addendum to Jan 22, 2018 sighting Antioch Calif"
5/13/2018,1/11/2018,Grass Valley, CA,{cak} Attached video as viewed on my infrared security camera for 7 plus minutes.
3/1/2018,1/24/2018,lakewood, CA,{td}I got to work at home and when I got out of the car I saw a light in the sky and I started to record it
2/23/2018,1/31/2018,Paradise, CA,{rjl} Accidentally filmed with camera on video while setting up tripod to take moon pics.
2/22/2018,1/24/2018,long beach california, CA,{rjl} get off the car and look at the sky and there was a bright object
2/17/2018,1/17/2018,Oakland , CA,{cak} Moorish alien or Pleiades entity Speaks English And is attached to my body aura it wont go away
2/16/2018,1/22/2018,Culver City, CA,"{cak} Star like light during day flys in, hovers, then changes directions, and disappears"
2/9/2018,1/3/2018,San Diego, CA,{jpg} It was way above our atmosphere but it was massive in size like the size of a small City rectangular shaped completely covered in white lights like a checkerboard
2/7/2018,1/6/2018,Stockton, CA,{jpg} Bright but fuzzy star like object in the South West clear sky
1/31/2018,1/31/2018,Los Angeles, CA,"{td}During lunar eclipse, blue blood moon, object flew by moon"
1/30/2018,1/29/2018,CA, US,"{td}Black silent object, rotating or shape shifting"
1/29/2018,1/28/2018,Sacramento, CA,{dr}Boomerang shaped
1/27/2018,1/26/2018,Campbell , CA,{jpg} 2nd Sighting of Pulsating Red Orb
1/25/2018,1/25/2018,CUPERTINO, CA,"{jpg} Star-like object flying in straight line slows, moves around, then becomes stationary. Dim objects coming and going from object."
1/24/2018,1/24/2018,Menifee, CA,{jpg} 25 +/- dull white orbs hovered then left to high altitude out of sight
1/24/2018,1/23/2018,victorville, CA,"{jpg} solid copper light traveling from east to west, dimmed and flashed twice"
1/23/2018,1/22/2018,Claremont, CA,{jpg} Metallic object shaped like the letter A. Two big lights/thrusters/Plasma lights on bottom. Hoovering then floating away eastward
1/23/2018,1/22/2018,Antioch, CA,"{jpg} traveling east bound Hwy 4 about 21:10 saw what I thought was a large plane and when pointed out to my wife she said it just hovering. I lookes back over head and saw a large black Triangle with a white light at each point, leading light was flashi"
1/22/2018,1/19/2018,West Hollywood, CA,{jpg} Was abducted in a dream and couldn't remember what was said to me and then the next day I was using Siri to text someone and said talk. Then my iPhone responded with what I believe to be Latin and and untranslated phrase.
1/19/2018,1/19/2018,Mammoth Lakes, CA,"{rjl} Two bright lights materialized, then disappeared one after the other"
1/18/2018,1/2/2018,IRWINDALE, CA,{rjl} JUST HOVERED ABOVE THE SIGNAL LIGHTS
1/16/2018,1/13/2018,Yorba Linda, CA,{rjl} Periodic flashing or
1/15/2018,1/14/2018,crescent, CA,"{rjl} observed one coming over horizon followed by 3 more then ascend then more coming over horizon then ascend also several more same but in different areas , see pics"
1/14/2018,1/14/2018,chula vista, CA,{rjl} bright yellow red lrg golfball shape moving in a line east and disappeared in thin air
1/14/2018,1/14/2018,Catalina, CA,{rjl} Was photographing the sunset. Saw lights that looked like red airplane lights however moved too quickly and no thanks in a flight pattern. Then moved towards the east unlike typical plane and moved too quickly although not so fast
1/14/2018,1/13/2018,Mountain View, CA,{rjl} Looked like star but moved slowly upward. Stopped. Moved again. Stopped. Disappeared.
1/13/2018,1/13/2018,Los Angeles, CA,[cak] Saw 3 bright lights in sky 13:00 hrs E by NE between 70 & 80 deg. then more lights 10+
1/12/2018,1/5/2018,Northridge, on the 118 & ,{cak} Metallic sphere shape
1/12/2018,1/11/2018,CA, US,{cak} it was in the out line of the clouds
1/12/2018,1/11/2018,Burbank, CA,{cak} Large plane at high altitude vanished from clear blue daytime sky along with contrail.
1/11/2018,1/6/2018,CA, US,{cak} Saw two lights off Set From each other
1/10/2018,1/10/2018,Walnut, CA,{cak} Red lights in sky just hovering. No blinking. No movement. Steady & red.
1/9/2018,1/6/2018,hollywood, CA,{cak} it happened during a commercial of the falcons vs rams overlooking hollywood
1/6/2018,1/6/2018,CA, US,{dr}Saw two lights off Set From each other
1/6/2018,1/5/2018,Geyserville, CA,"{dr}With NightVision Monocular MANY Triangles could be observed, Very wierd Cloud density/movements/color"
1/6/2018,1/1/2018,Los Angeles, CA,"{dr}After I park my truck in the driveway I felt something was above me, I looked up and saw one static object in the sky."
1/6/2018,1/5/2018,Fresno, CA,"{dr}I observed an oval shaped lighted object that appeared large. It appeared in an instant and flew in a straight line for about 3 or 4 seconds then blinked out like a snap. Very fast, faster than any plane or jet can travel. It wasn't a falling star."
1/4/2018,1/4/2018,Santa Ana, CA,{dr}Starlike Object Moving Across The Sky
1/4/2018,1/3/2018,Marina, CA,{dr}2 types. Glowing triangles in western sky. One blinking light flew in to it a disappeared. 2 others flying towards it. High in the sky. 2nd was a string of grey orbs (5) less than 100 feet overhead about the size of an yoga ball. West on freeway
1/3/2018,1/3/2018,Long beach, CA,{dr}Hoverin while communication with me I walked outside and looked up. Abducted returned then bright light then flashed again over 500 ft with boom and rumble and then they don't. Talking to me.
1/2/2018,1/1/2018,sylmar, CA,"{dr}from 2nd story balconey red lights against mountain up down upn down. very very fast moved, thn back over houses"
1/1/2018,1/1/2018,bell gardens , CA,{dr}hovering orb. jagged movement. disappeared into the sky... reduced in size then poof
1/1/2018,1/1/2018,Eureka, CA,{dr}Flying then split into two.
