State,Month,Count
USA,"Jan, 2018",324
USA,"Feb, 2018",253
USA,"Mar, 2018",303
USA,"Apr, 2018",231
USA,"May, 2018",295
USA,"Jun, 2018",271
USA,"Jul, 2018",393
USA,"Aug, 2018",311
USA,"Sep, 2018",336
USA,"Oct, 2018",351
USA,"Nov, 2018",246
USA,"Dec, 2018",242
USA,UFO 2018,3556
AL,"Jan, 2018",4
AL,"Feb, 2018",3
AL,"Mar, 2018",4
AL,"Apr, 2018",6
AL,"May, 2018",4
AL,"Jun, 2018",2
AL,"Jul, 2018",3
AL,"Aug, 2018",3
AL,"Sep, 2018",3
AL,"Oct, 2018",1
AL,"Nov, 2018",2
AL,"Dec, 2018",2
AL,UFO 2018,37
AR,"Jan, 2018",10
AR,"Feb, 2018",5
AR,"Mar, 2018",2
AR,"Apr, 2018",3
AR,"May, 2018",1
AR,"Jun, 2018",3
AR,"Jul, 2018",1
AR,"Aug, 2018",4
AR,"Sep, 2018",5
AR,"Oct, 2018",4
AR,"Nov, 2018",2
AR,"Dec, 2018",4
AR,UFO 2018,44
AZ,"Jan, 2018",14
AZ,"Feb, 2018",23
AZ,"Mar, 2018",22
AZ,"Apr, 2018",15
AZ,"May, 2018",15
AZ,"Jun, 2018",11
AZ,"Jul, 2018",7
AZ,"Aug, 2018",8
AZ,"Sep, 2018",12
AZ,"Oct, 2018",19
AZ,"Nov, 2018",11
AZ,"Dec, 2018",12
AZ,UFO 2018,169
CA,"Jan, 2018",40
CA,"Feb, 2018",50
CA,"Mar, 2018",28
CA,"Apr, 2018",21
CA,"May, 2018",33
CA,"Jun, 2018",34
CA,"Jul, 2018",41
CA,"Aug, 2018",25
CA,"Sep, 2018",31
CA,"Oct, 2018",68
CA,"Nov, 2018",29
CA,"Dec, 2018",30
CA,UFO 2018,430
CO,"Jan, 2018",6
CO,"Feb, 2018",10
CO,"Mar, 2018",12
CO,"Apr, 2018",6
CO,"May, 2018",16
CO,"Jun, 2018",9
CO,"Jul, 2018",4
CO,"Aug, 2018",12
CO,"Sep, 2018",19
CO,"Oct, 2018",10
CO,"Nov, 2018",5
CO,"Dec, 2018",13
CO,UFO 2018,122
CT,"Jan, 2018",4
CT,"Feb, 2018",1
CT,"Mar, 2018",3
CT,"Apr, 2018",4
CT,"May, 2018",3
CT,"Jun, 2018",0
CT,"Jul, 2018",0
CT,"Aug, 2018",4
CT,"Sep, 2018",2
CT,"Oct, 2018",3
CT,"Nov, 2018",3
CT,"Dec, 2018",1
CT,UFO 2018,28
DC,"Jan, 2018",0
DC,"Feb, 2018",1
DC,"Mar, 2018",0
DC,"Apr, 2018",1
DC,"May, 2018",0
DC,"Jun, 2018",1
DC,"Jul, 2018",0
DC,"Aug, 2018",2
