Word,Count,ST
light,670,USA
object,667,USA
lights,591,USA
bright,499,USA
sky,419,USA
moving,357,USA
white,344,USA
hovering,264,USA
red,229,USA
ufo,208,USA
flying,196,USA
moved,191,USA
orb,190,USA
noticed,171,USA
objects,168,USA
took,168,USA
glowing,167,USA
appeared,162,USA
star,161,USA
shape,161,USA
large,160,USA
shaped,158,USA
observed,146,USA
triangle,144,USA
disappeared,134,USA
light,9,AL
bright,6,AL
lights,5,AL
red,5,AL
blinking,4,AL
moon,4,AL
sky,4,AL
moved,3,AL
object,3,AL
moving,3,AL
disappearing,3,AL
camera,3,AL
pulsating,3,AL
went,3,AL
glowing,3,AL
ufo,3,AL
white,2,AL
hovering,2,AL
triangular,2,AL
low,2,AL
star,2,AL
started,2,AL
captured,2,AL
large,2,AL
overhead,2,AL
light,12,AR
object,11,AR
bright,9,AR
sky,6,AR
moving,5,AR
observed,5,AR
night,5,AR
line,4,AR
ufo,4,AR
triangular,4,AR
lights,4,AR
sky,4,AR
photos,3,AR
dark,3,AR
hovered,3,AR
hovering,3,AR
emitted,3,AR
small,3,AR
near,3,AR
straight,3,AR
plane,3,AR
traveling,3,AR
star,3,AR
took,3,AR
just,2,AR
lights,38,AZ
light,31,AZ
object,29,AZ
bright,29,AZ
sky,18,AZ
white,18,AZ
noticed,17,AZ
moving,14,AZ
took,14,AZ
moved,12,AZ
objects,12,AZ
glowing,12,AZ
disappeared,11,AZ
hovering,11,AZ
orbs,10,AZ
orb,10,AZ
picture,9,AZ
red,9,AZ
photo,8,AZ
line,8,AZ
triangle,8,AZ
star,8,AZ
east,8,AZ
went,8,AZ
appeared,7,AZ
object,86,CA
lights,74,CA
light,73,CA
bright,63,CA
sky,54,CA
moving,52,CA
white,45,CA
hovering,33,CA
ufo,33,CA
flying,32,CA
moved,27,CA
red,24,CA
orb,24,CA
cloud,23,CA
high,22,CA
west,21,CA
star,21,CA
noticed,21,CA
orbs,20,CA
shape,20,CA
objects,20,CA
shaped,19,CA
appeared,19,CA
green,19,CA
going,18,CA
light,29,CO
object,26,CO
lights,23,CO
bright,13,CO
moving,13,CO
sky,13,CO
hovering,11,CO
white,10,CO
observed,8,CO
west,8,CO
large,8,CO
orb,8,CO
straight,7,CO
slowly,7,CO
shape,6,CO
path,6,CO
hovered,6,CO
glowing,6,CO
moved,6,CO
clouds,6,CO
orange,5,CO
started,5,CO
moon,5,CO
left,5,CO
craft,5,CO
light,9,CT
bright,6,CT
sky,5,CT
object,5,CT
flashing,4,CT
lights,4,CT
slowly,4,CT
star,4,CT
direction,3,CT
straight,3,CT
white,3,CT
smaller,3,CT
appeared,3,CT
hovering,3,CT
flew,3,CT
line,2,CT
blinking,2,CT
flying,2,CT
quickly,2,CT
moved,2,CT
ball,2,CT
pulsating,2,CT
moving,2,CT
stars,2,CT
sunset,2,CT
silver,2,DC
reflective,2,DC
interview,2,DC
ufo,1,DC
inside,1,DC
capital,1,DC
beltway,1,DC
spheres,1,DC
moving,1,DC
low,1,DC
cloud,1,DC
shining,1,DC
white,1,DC
disappearing,1,DC
cluster,1,DC
mile,1,DC
metallic,1,DC
objects,1,DC
discernible,1,DC
movement,1,DC
observed,1,DC
street,1,DC
away,1,DC
silver,1,DC
driving,1,DC
object,3,DE
observed,2,DE
lights,2,DE
past,2,DE
moving,2,DE
quickly,2,DE
large,1,DE
shape,1,DE
half,1,DE
moon,1,DE
small,1,DE
hovering,1,DE
cylindrical,1,DE
erratically,1,DE
line,1,DE
merge,1,DE
disappear,1,DE
air,1,DE
flew,1,DE
directly,1,DE
friend,1,DE
noise,1,DE
triangular,1,DE
shape,1,DE
witnessed,1,DE
object,46,FL
light,40,FL
lights,38,FL
sky,30,FL
bright,29,FL
moving,27,FL
flying,24,FL
red,19,FL
objects,19,FL
white,19,FL
hovering,18,FL
glowing,15,FL
star,15,FL
noticed,14,FL
shaped,14,FL
green,14,FL
ufo,14,FL
craft,13,FL
orbs,13,FL
orange,13,FL
fast,13,FL
orb,12,FL
triangle,11,FL
shape,11,FL
west,11,FL
light,19,GA
object,16,GA
lights,15,GA
bright,13,GA
window,12,GA
sky,11,GA
white,8,GA
moving,6,GA
craft,6,GA
moved,6,GA
pictures,6,GA
solid,5,GA
hovering,5,GA
disappeared,5,GA
ufos,5,GA
camera,5,GA
took,5,GA
orange,4,GA
small,4,GA
observed,4,GA
objects,4,GA
straight,4,GA
ufo,4,GA
shaped,4,GA
orb,4,GA
object,7,IA
light,5,IA
lights,5,IA
red,4,IA
sky,4,IA
black,3,IA
flying,3,IA
east,3,IA
moved,3,IA
bright,2,IA
vertical,2,IA
tree,2,IA
path,2,IA
help,2,IA
clouds,2,IA
ascending,2,IA
picture,2,IA
slowly,2,IA
orb,2,IA
kind,1,IA
marshmallow,1,IA
ball,1,IA
pearl,1,IA
objects,1,IA
glowing,1,IA
light,8,ID
moving,7,ID
object,6,ID
orb,6,ID
sky,5,ID
picture,4,ID
shaped,4,ID
ufo,4,ID
boise,4,ID
bright,4,ID
hovering,3,ID
star,3,ID
looking,3,ID
east,3,ID
house,3,ID
objects,3,ID
noticed,3,ID
moved,3,ID
video,3,ID
solid,3,ID
west,3,ID
large,3,ID
white,3,ID
chasing,2,ID
glowing,2,ID
object,25,IL
light,15,IL
lights,15,IL
hovering,12,IL
bright,12,IL
sky,13,IL
disappeared,10,IL
moving,8,IL
flying,7,IL
just,7,IL
green,6,IL
white,6,IL
objects,6,IL
noticed,6,IL
slowly,6,IL
appeared,6,IL
craft,6,IL
ufo,5,IL
large,5,IL
fly,4,IL
slow,4,IL
planes,4,IL
video,4,IL
traveling,4,IL
two,4,IL
light,15,IN
object,14,IN
lights,14,IN
bright,11,IN
sky,10,IN
orb,7,IN
shape,6,IN
triangle,6,IN
large,6,IN
red,6,IN
saw,5,IN
ufo,5,IN
white,5,IN
direction,5,IN
moving,5,IN
shaped,5,IN
west,4,IN
flew,4,IN
observed,4,IN
orbs,4,IN
objects,4,IN
star,4,IN
appeared,3,IN
flight,3,IN
path,3,IN
light,7,KS
lights,4,KS
object,4,KS
red,4,KS
bright,3,KS
photo,3,KS
white,3,KS
solid,3,KS
pics,3,KS
multiple,2,KS
shaped,2,KS
sky,2,KS
stationary,2,KS
taken,2,KS
taking,2,KS
objects,2,KS
shape,2,KS
very,2,KS
large,1,KS
glowing,1,KS
rod,1,KS
size,1,KS
aspirin,1,KS
turned,1,KS
side,1,KS
light,9,KY
bright,7,KY
object,7,KY
white,5,KY
hovering,5,KY
witnessed,4,KY
dark,4,KY
lights,4,KY
flying,4,KY
sky,3,KY
rotating,3,KY
south,3,KY
going,3,KY
moving,3,KY
flew,3,KY
fly,3,KY
appeared,3,KY
orb,3,KY
camera,3,KY
ufo,3,KY
shape,3,KY
direction,3,KY
large,2,KY
star,2,KY
airplane,2,KY
object,9,LA
took,6,LA
hovering,5,LA
lights,5,LA
sky,4,LA
moon,4,LA
pics,4,LA
bright,3,LA
loud,2,LA
pictures,2,LA
disappeared,2,LA
flying,2,LA
orange,2,LA
speed,2,LA
heard,2,LA
observed,2,LA
light,2,LA
white,2,LA
head,2,LA
lightning,2,LA
ship,2,LA
blinking,2,LA
spotted,2,LA
plane,2,LA
colored,2,LA
bright,12,MA
lights,11,MA
light,11,MA
object,10,MA
hovering,8,MA
white,8,MA
sky,6,MA
glowing,5,MA
moving,5,MA
ufo,5,MA
red,5,MA
time,5,MA
objects,5,MA
video,5,MA
small,4,MA
orb,4,MA
noticed,4,MA
moved,4,MA
shape,4,MA
took,4,MA
appeared,4,MA
directions,4,MA
witnessed,4,MA
formation,3,MA
wing,3,MA
light,10,ME
white,6,ME
noticed,6,ME
object,6,ME
lights,6,ME
moving,5,ME
disappeared,4,ME
red,4,ME
bright,4,ME
sound,3,ME
sphere,3,ME
star,3,ME
sky,3,ME
hovering,3,ME
orange,3,ME
mars,3,ME
moving,3,ME
began,3,ME
solid,2,ME
picture,2,ME
orb,2,ME
slowly,2,ME
looked,2,ME
distance,2,ME
low,2,ME
object,30,MI
lights,27,MI
light,21,MI
moving,21,MI
sky,17,MI
bright,16,MI
red,12,MI
slowly,11,MI
star,11,MI
shape,11,MI
hovering,10,MI
flying,10,MI
the,9,MI
east,9,MI
white,9,MI
shaped,9,MI
moved,8,MI
ufo,8,MI
hovered,8,MI
disappeared,8,MI
west,8,MI
orbs,8,MI
observed,7,MI
black,7,MI
house,7,MI
lights,14,MN
object,11,MN
red,7,MN
light,6,MN
bright,5,MN
saw,5,MN
orbs,5,MN
shaped,5,MN
white,4,MN
sky,4,MN
high,4,MN
window,3,MN
large,3,MN
low,3,MN
looked,3,MN
took,3,MN
noticed,3,MN
blinking,3,MN
sky,3,MN
lights,3,MN
star,3,MN
appeared,3,MN
triangle,3,MN
witnessed,2,MN
cluster,2,MN
lights,19,MO
bright,16,MO
light,14,MO
object,14,MO
sky,13,MO
white,12,MO
moving,9,MO
shaped,7,MO
went,7,MO
fast,6,MO
large,6,MO
triangle,5,MO
craft,5,MO
flashing,5,MO
light,5,MO
lights,5,MO
orange,4,MO
hovering,4,MO
moved,4,MO
left,4,MO
cloud,4,MO
low,4,MO
line,4,MO
sky,4,MO
different,4,MO
object,5,MS
light,4,MS
moving,4,MS
far,3,MS
straight,3,MS
lights,3,MS
moved,2,MS
west,2,MS
east,2,MS
line,2,MS
flying,2,MS
sw,2,MS
flew,2,MS
red,2,MS
white,2,MS
flashing,2,MS
looked,1,MS
star,1,MS
hovered,1,MS
vanished,1,MS
circle,1,MS
star-like,1,MS
away,1,MS
ringed,1,MS
shaped,1,MS
lights,6,MT
bright,4,MT
away,3,MT
big,3,MT
went,3,MT
pulse,2,MT
jet,2,MT
orange,2,MT
east,2,MT
faster,2,MT
sky,2,MT
cloud,2,MT
light,2,MT
white,2,MT
bedroom,2,MT
disc,1,MT
shaped,1,MT
box,1,MT
sr-72,1,MT
aurora,1,MT
tech,1,MT
detonation,1,MT
black,1,MT
shape,1,MT
sphere,1,MT
light,20,NC
lights,16,NC
object,15,NC
bright,14,NC
sky,13,NC
objects,8,NC
hovering,8,NC
moving,8,NC
shaped,7,NC
flying,7,NC
noticed,7,NC
took,7,NC
white,7,NC
orange,6,NC
orb,6,NC
tree,6,NC
large,6,NC
moved,6,NC
taking,5,NC
triangle,5,NC
ufo,5,NC
video,5,NC
disappeared,5,NC
hovered,5,NC
fast,5,NC
sky,5,ND
star,2,ND
light,2,ND
traveling,2,ND
away,2,ND
kin,1,ND
time,1,ND
taking,1,ND
appears,1,ND
brightest,1,ND
flew,1,ND
night,1,ND
eastbound,1,ND
move,1,ND
balloons,1,ND
aircraft,1,ND
landing,1,ND
far,1,ND
airport,1,ND
metal,1,ND
orb,1,ND
floated,1,ND
storm,1,ND
cloud,1,ND
lights,1,ND
sky,3,NE
size,3,NE
green,2,NE
colored,2,NE
object,2,NE
moving,2,NE
beam,2,NE
object,2,NE
glass,2,NE
metal,2,NE
lights,2,NE
shaped,2,NE
glowing,2,NE
ball,1,NE
object,1,NE
balls,1,NE
red,1,NE
close,1,NE
encounter,1,NE
kind,1,NE
looked,1,NE
floating,1,NE
black,1,NE
slowly,1,NE
following,1,NE
hovering,5,NH
time,3,NH
slowly,3,NH
trees,2,NH
orbs,2,NH
moving,2,NH
shape,2,NH
light,2,NH
west,2,NH
white,2,NH
red,2,NH
blinking,2,NH
directions,2,NH
low,2,NH
pattern,2,NH
bright,2,NH
appeared,2,NH
home,2,NH
long,2,NH
driving,2,NH
viewed,2,NH
saw,2,NH
lights,2,NH
witnessed,1,NH
lights,17,NJ
light,16,NJ
bright,14,NJ
object,12,NJ
sky,12,NJ
red,11,NJ
white,10,NJ
star,8,NJ
shape,7,NJ
triangle,7,NJ
large,7,NJ
flying,7,NJ
ufo,6,NJ
moving,6,NJ
glowing,6,NJ
hovering,6,NJ
saw,5,NJ
objects,5,NJ
black,5,NJ
strange,5,NJ
observed,5,NJ
slowly,5,NJ
orb,4,NJ
stationary,4,NJ
moved,4,NJ
light,13,NM
object,8,NM
bright,8,NM
hovering,7,NM
white,7,NM
sky,6,NM
driving,5,NM
cloud,5,NM
photos,5,NM
lights,5,NM
orange,4,NM
orbs,4,NM
glowing,4,NM
stationary,4,NM
left,3,NM
shape,3,NM
turned,3,NM
south,3,NM
orb,3,NM
time,3,NM
appeared,3,NM
saw,3,NM
objects,2,NM
slowly,2,NM
strange,2,NM
lights,20,NV
object,16,NV
light,9,NV
moving,8,NV
bright,8,NV
orb,8,NV
large,7,NV
saw,7,NV
moon,7,NV
craft,6,NV
sky,6,NV
hovering,6,NV
red,6,NV
objects,5,NV
high,5,NV
moved,5,NV
flashing,5,NV
cloud,5,NV
telescope,5,NV
video,4,NV
flying,4,NV
glowing,4,NV
small,4,NV
coming,4,NV
faded,4,NV
light,38,NY
