State,ST,City ST,Lat,Lng,City
Alabama,AL,Abanda AL,33.0926,-85.5253,Abanda
Alabama,AL,Abbeville AL,31.5664,-85.2528,Abbeville
Alabama,AL,Aberfoil AL,32.0704,-85.6877,Aberfoil
Alabama,AL,Abernant AL,33.2904,-87.1981,Abernant
Alabama,AL,Adamsville AL,33.6064,-86.9745,Adamsville
Alabama,AL,Addison AL,34.2017,-87.1765,Addison
Alabama,AL,Akron AL,32.8785,-87.7429,Akron
Alabama,AL,Alabaster AL,33.2197,-86.8233,Alabaster
Alabama,AL,Alberta AL,32.2321,-87.41,Alberta
Alabama,AL,Albertville AL,34.2631,-86.2106,Albertville
Alabama,AL,Alexander City AL,32.924,-85.9353,Alexander City
Alabama,AL,Alexandria AL,33.7675,-85.8792,Alexandria
Alabama,AL,Aliceville AL,33.1237,-88.1594,Aliceville
Alabama,AL,Allgood AL,33.9064,-86.5178,Allgood
Alabama,AL,Altoona AL,34.031,-86.3181,Altoona
Alabama,AL,Andalusia AL,31.3101,-86.4781,Andalusia
Alabama,AL,Anderson AL,34.9147,-87.2716,Anderson
Alabama,AL,Anniston AL,33.6713,-85.8137,Anniston
Alabama,AL,Ansley AL,31.8863,-86.1158,Ansley
Alabama,AL,Arab AL,34.3309,-86.499,Arab
Alabama,AL,Ardmore AL,34.9847,-86.8374,Ardmore
Alabama,AL,Argo AL,33.6962,-86.5066,Argo
Alabama,AL,Ariton AL,31.5978,-85.7131,Ariton
Alabama,AL,Arkadelphia AL,33.9051,-86.9625,Arkadelphia
Alabama,AL,Arley AL,34.0885,-87.2074,Arley
Alabama,AL,Ashby AL,33.021,-86.9194,Ashby
Alabama,AL,Ashford AL,31.1859,-85.2363,Ashford
Alabama,AL,Ashland AL,33.2704,-85.8337,Ashland
Alabama,AL,Ashville AL,33.8331,-86.2698,Ashville
Alabama,AL,Athens AL,34.7846,-86.9516,Athens
Alabama,AL,Atmore AL,31.0927,-87.4763,Atmore
Alabama,AL,Attalla AL,34.0049,-86.104,Attalla
Alabama,AL,Auburn AL,32.6084,-85.4897,Auburn
Alabama,AL,Autaugaville AL,32.4321,-86.6582,Autaugaville
Alabama,AL,Avon AL,31.1806,-85.2795,Avon
Alabama,AL,Axis AL,30.9295,-88.0181,Axis
Alabama,AL,Babbie AL,31.3022,-86.3229,Babbie
Alabama,AL,Baileyton AL,34.2609,-86.6082,Baileyton
