state_long,state_short,mil_base_name,operational_status,component,lat,long,country
Alabama,AL,Fort McClellan ARNG Training Center,Active,Army Guard,33.73163673,-85.78988627,United States
Alabama,AL,NOLF Summerdale,Active,Navy Active,30.50803324,-87.64718979,United States
Alabama,AL,Redstone Arsenal,Active,Army Active,34.63316416,-86.65721864,United States
Alabama,AL,Barin Field,Active,Navy Active,30.39107273,-87.63131432,United States
Alabama,AL,Toth Stagefield,Active,Army Active,31.22846947,-85.55865814,United States
Alabama,AL,Anniston Army Depot,Active,Army Active,33.65285727,-85.96953096,United States
Alabama,AL,Pelham Range Training Site - Fort McClellan,Active,Army Guard,33.7179613,-85.95026537,United States
Alabama,AL,Birmingham Airport,Active,AF Guard,33.57000551,-86.754395,United States
Alabama,AL,Maxwell AFB,Active,AF Active,32.38300004,-86.35626602,United States
Alabama,AL,Goldberg Stagefield,Active,Army Active,31.41508395,-85.46333136,United States
Alabama,AL,Maxwell AFB Gunter Annex,Active,AF Active,32.40700162,-86.24626002,United States
Alabama,AL,Fort Benning,Active,Army Active,32.28403913,-84.95484078,United States
Alabama,AL,Cairns Basefield,Active,Army Active,31.27809466,-85.71505954,United States
Alabama,AL,NOLF Silverhill,Active,Navy Active,30.56194986,-87.80933286,United States
Alabama,AL,Skelly Stagefield,Active,Army Active,31.28491025,-86.12981333,United States
Alabama,AL,Highbluff Stagefield,Active,Army Active,31.15064146,-85.73756442,United States
Alabama,AL,Montgomery Regional Airport ANGB,Active,AF Guard,32.30470933,-86.40143384,United States
Alabama,AL,NOLF Brewton,Active,Navy Active,31.04851856,-87.06450949,United States
Alabama,AL,Shell Basefield,Active,Army Active,31.36265069,-85.84906728,United States
Alabama,AL,NOLF Evergreen,Active,Navy Active,31.41565861,-87.04393463,United States
Alabama,AL,Fort Rucker,Active,Army Active,31.40271561,-85.74758366,United States
Alabama,AL,Allen Stagefield,Active,Army Active,31.23097615,-85.65068053,United States
Alabama,AL,Stinson Stagefield,Active,Army Active,31.35944491,-86.01365605,United States
Alabama,AL,Brown Stagefield,Active,Army Active,31.38630189,-85.9721309,United States
Alabama,AL,Hunt Stagefield,Active,Army Active,31.37963679,-85.58023518,United States
Alabama,AL,NOLF Wolf,Active,Navy Active,30.34467945,-87.54076526,United States
Alaska,AK,Fort Wainwright,Active,Army Active,64.55281595,-147.7109289,United States
Alaska,AK,Elmendorf AFB,Active,AF Active,61.26979961,-149.8111876,United States
