word,count,state_short,state_long
light,670,USA,United States
object,667,USA,United States
lights,591,USA,United States
bright,499,USA,United States
sky,419,USA,United States
moving,357,USA,United States
white,344,USA,United States
hovering,264,USA,United States
red,229,USA,United States
ufo,208,USA,United States
flying,196,USA,United States
moved,191,USA,United States
orb,190,USA,United States
noticed,171,USA,United States
objects,168,USA,United States
took,168,USA,United States
glowing,167,USA,United States
appeared,162,USA,United States
star,161,USA,United States
shape,161,USA,United States
large,160,USA,United States
shaped,158,USA,United States
observed,146,USA,United States
triangle,144,USA,United States
disappeared,134,USA,United States
light,9,AL,Alabama
bright,6,AL,Alabama
lights,5,AL,Alabama
red,5,AL,Alabama
blinking,4,AL,Alabama
moon,4,AL,Alabama
sky,4,AL,Alabama
moved,3,AL,Alabama
object,3,AL,Alabama
moving,3,AL,Alabama
disappearing,3,AL,Alabama
camera,3,AL,Alabama
pulsating,3,AL,Alabama
went,3,AL,Alabama
glowing,3,AL,Alabama
ufo,3,AL,Alabama
white,2,AL,Alabama
hovering,2,AL,Alabama
triangular,2,AL,Alabama
low,2,AL,Alabama
star,2,AL,Alabama
started,2,AL,Alabama
captured,2,AL,Alabama
large,2,AL,Alabama
overhead,2,AL,Alabama
light,12,AR,Arkansas
object,11,AR,Arkansas
bright,9,AR,Arkansas
sky,6,AR,Arkansas
moving,5,AR,Arkansas
observed,5,AR,Arkansas
night,5,AR,Arkansas
line,4,AR,Arkansas
ufo,4,AR,Arkansas
triangular,4,AR,Arkansas
lights,4,AR,Arkansas
sky,4,AR,Arkansas
photos,3,AR,Arkansas
dark,3,AR,Arkansas
hovered,3,AR,Arkansas
hovering,3,AR,Arkansas
emitted,3,AR,Arkansas
small,3,AR,Arkansas
near,3,AR,Arkansas
straight,3,AR,Arkansas
plane,3,AR,Arkansas
traveling,3,AR,Arkansas
star,3,AR,Arkansas
took,3,AR,Arkansas
just,2,AR,Arkansas
lights,38,AZ,Arizona
light,31,AZ,Arizona
object,29,AZ,Arizona
bright,29,AZ,Arizona
sky,18,AZ,Arizona
white,18,AZ,Arizona
noticed,17,AZ,Arizona
moving,14,AZ,Arizona
took,14,AZ,Arizona
moved,12,AZ,Arizona
objects,12,AZ,Arizona
glowing,12,AZ,Arizona
disappeared,11,AZ,Arizona
hovering,11,AZ,Arizona
orbs,10,AZ,Arizona
orb,10,AZ,Arizona
picture,9,AZ,Arizona
red,9,AZ,Arizona
photo,8,AZ,Arizona
line,8,AZ,Arizona
triangle,8,AZ,Arizona
star,8,AZ,Arizona
east,8,AZ,Arizona
went,8,AZ,Arizona
appeared,7,AZ,Arizona
object,86,CA,California
lights,74,CA,California
light,73,CA,California
bright,63,CA,California
sky,54,CA,California
moving,52,CA,California
white,45,CA,California
hovering,33,CA,California
ufo,33,CA,California
flying,32,CA,California
moved,27,CA,California
red,24,CA,California
orb,24,CA,California
cloud,23,CA,California
high,22,CA,California
west,21,CA,California
star,21,CA,California
noticed,21,CA,California
orbs,20,CA,California
shape,20,CA,California
objects,20,CA,California
shaped,19,CA,California
appeared,19,CA,California
green,19,CA,California
going,18,CA,California
light,29,CO,Colorado
object,26,CO,Colorado
lights,23,CO,Colorado
bright,13,CO,Colorado
moving,13,CO,Colorado
sky,13,CO,Colorado
hovering,11,CO,Colorado
white,10,CO,Colorado
observed,8,CO,Colorado
west,8,CO,Colorado
large,8,CO,Colorado
orb,8,CO,Colorado
straight,7,CO,Colorado
slowly,7,CO,Colorado
shape,6,CO,Colorado
path,6,CO,Colorado
hovered,6,CO,Colorado
glowing,6,CO,Colorado
moved,6,CO,Colorado
clouds,6,CO,Colorado
orange,5,CO,Colorado
started,5,CO,Colorado
moon,5,CO,Colorado
left,5,CO,Colorado
craft,5,CO,Colorado
light,9,CT,Connecticut
bright,6,CT,Connecticut
sky,5,CT,Connecticut
object,5,CT,Connecticut
flashing,4,CT,Connecticut
lights,4,CT,Connecticut
slowly,4,CT,Connecticut
star,4,CT,Connecticut
direction,3,CT,Connecticut
straight,3,CT,Connecticut
white,3,CT,Connecticut
smaller,3,CT,Connecticut
appeared,3,CT,Connecticut
hovering,3,CT,Connecticut
flew,3,CT,Connecticut
line,2,CT,Connecticut
blinking,2,CT,Connecticut
flying,2,CT,Connecticut
quickly,2,CT,Connecticut
moved,2,CT,Connecticut
ball,2,CT,Connecticut
pulsating,2,CT,Connecticut
moving,2,CT,Connecticut
stars,2,CT,Connecticut
sunset,2,CT,Connecticut
silver,2,DC,District of Columbia
reflective,2,DC,District of Columbia
interview,2,DC,District of Columbia
ufo,1,DC,District of Columbia
inside,1,DC,District of Columbia
capital,1,DC,District of Columbia
beltway,1,DC,District of Columbia
spheres,1,DC,District of Columbia
moving,1,DC,District of Columbia
low,1,DC,District of Columbia
cloud,1,DC,District of Columbia
shining,1,DC,District of Columbia
white,1,DC,District of Columbia
disappearing,1,DC,District of Columbia
cluster,1,DC,District of Columbia
mile,1,DC,District of Columbia
metallic,1,DC,District of Columbia
objects,1,DC,District of Columbia
discernible,1,DC,District of Columbia
movement,1,DC,District of Columbia
observed,1,DC,District of Columbia
street,1,DC,District of Columbia
away,1,DC,District of Columbia
silver,1,DC,District of Columbia
driving,1,DC,District of Columbia
object,3,DE,Delaware
observed,2,DE,Delaware
lights,2,DE,Delaware
past,2,DE,Delaware
moving,2,DE,Delaware
quickly,2,DE,Delaware
large,1,DE,Delaware
shape,1,DE,Delaware
half,1,DE,Delaware
moon,1,DE,Delaware
small,1,DE,Delaware
hovering,1,DE,Delaware
cylindrical,1,DE,Delaware
erratically,1,DE,Delaware
line,1,DE,Delaware
merge,1,DE,Delaware
disappear,1,DE,Delaware
air,1,DE,Delaware
flew,1,DE,Delaware
directly,1,DE,Delaware
friend,1,DE,Delaware
noise,1,DE,Delaware
triangular,1,DE,Delaware
shape,1,DE,Delaware
