state_long,state_short,city_state,mj_legal,lat,long,sighting_date,short_description,,
Washington,WA,Aberdeen WA,Yes,46.9768,-123.8083,3/6/2018,{jpg} I was on the bluff and this bright red yellow orange ball crashed into the hills,,
Texas,TX,Abilene TX,No,32.4543,-99.7384,5/30/2018,{td} ufo hovering south of 1st street with a helicopter flying around the ufo as it hovered,,
Texas,TX,Abilene TX,No,32.4543,-99.7384,7/11/2018,"{jpg} Unusual bright object w/appendages, hovering to the SW",,
Texas,TX,Abilene TX,No,32.4543,-99.7384,9/16/2018,Saw object hovering flashing lights so took photo of it.,,
Texas,TX,Abilene TX,No,32.4543,-99.7384,10/6/2018,{tjd} Please watch the videos I uploaded,,
Texas,TX,Abilene TX,No,32.4543,-99.7384,10/31/2018,{jpg} Just watch the video,,
Texas,TX,Abilene TX,No,32.4543,-99.7384,10/31/2018,{tjd} I have been seeing these every night for almost a month now. Just check out my videos.,,
Virginia,VA,Abingdon VA,No,36.7089,-81.9711,9/20/2018,{rjl} Triangle. Broad daylight,,
New Mexico,NM,Abiquiu NM,Yes,36.2017,-106.3239,2/3/2018,"{jpg} 3 white diamond shapes, 1 blue diamond shape",,
New Mexico,NM,Abiquiu NM,Yes,36.2017,-106.3239,8/14/2018,{cak} Light in sky disappears after I felt urged to look left,,
Wisconsin,WI,Abrams WI,No,44.7796,-88.0605,6/23/2018,{rjl} We were outside in the sunshine enjoying the weather. I happened to look up and saw a white oblong shape moving slow in the sky my daughter kept following it with her eyes ran across the yard by the time I was by her it was gone.,,
New Jersey,NJ,Absecon NJ,Yes,39.4221,-74.4941,2/20/2018,{rjl} I saw a bright light and two beings in my room. Than I was on a medical table.,,
New Jersey,NJ,Absecon NJ,Yes,39.4221,-74.4941,6/10/2018,{jpg} I saw a bright light and two small being game into my room. I was on a table,,
Ohio,OH,Ada OH,Yes,40.768,-83.8252,10/24/2018,{cak} Q/C testing a new Thermal Hybrid PTZ Camera during night ops. I turned the primary laser IR Illuminator off and found this object in the sky seemingly doing a loop and then a decent while slightly changing its trajectory an couple times.,,
California,CA,Agoura Hills CA,Yes,34.151,-118.7608,3/1/2018,{td}Watching a rabbit shaped rain cloud facing south w/ a white cloud next to it. All of the sudden in the eye of the rabbit was a Saucer shape & it looked like it was trying to move. Then it took off very fast past the white cloud & vanished,,
South Carolina,SC,Aiken SC,No,33.5303,-81.7271,3/31/2018,"{jpg} witnessed a red circular object with gold fringe around the outside of circle. Moving north at a steady speed. Then about two thirds of it disappeared, then the rest disappeared.",,
Arizona,AZ,Ajo AZ,Yes,32.3923,-112.8839,2/6/2018,{jpg} glowing orb appeared hovering. Flashed high beams and disappeared.,,
Arizona,AZ,Ajo AZ,Yes,32.3923,-112.8839,2/20/2018,{rjl} Triangle or Diamond shaped. Both glowing and transparent. Running lights red and orange.,,
Colorado,CO,Akron CO,Yes,40.1644,-103.2206,7/7/2018,"{jpg} Bright light looked like 3 stars vertical and attached, pitch black sky photos reveal an amazing sight!",,
Ohio,OH,Akron OH,Yes,41.0802,-81.5219,3/17/2018,{cak} Dark triangular shaped aircraft flew overhead totally silent at a very rapid speed(200+mph),,
Ohio,OH,Akron OH,Yes,41.0802,-81.5219,6/6/2018,{cak} ORRERY TYPE SPHERE METALLIC OPENING CLOSING ROTATING INSIDE OF HOME,,
Ohio,OH,Akron OH,Yes,41.0802,-81.5219,10/26/2018,{cak} Oval shape with structure line on top.,,
Nevada,NV,Alamo NV,Yes,37.3648,-115.163,1/7/2018,{cak} was driving around perimeter of area 51. didn't see until looked at photo. have multiple photos of moving orbs as well.,,
New Mexico,NM,Alamogordo NM,Yes,32.8834,-105.9627,3/20/2018,{cak} Two time lapse photos captured unusual lights.,,
New Mexico,NM,Alamogordo NM,Yes,32.8834,-105.9627,12/9/2018,"{cak} Bright white light descended straight down at constant velocity, stopped at ~800', then proceeded horizontally N at a high rate of speed.",,
Colorado,CO,Alamosa CO,Yes,37.4755,-105.877,3/14/2018,"{cak} Was driving through wetlands passed Rio Vega Ranch and found several mutilated cattle with faces removed, and very messed because no blood",,
New York,NY,Albany NY,Yes,42.6664,-73.7987,4/6/2018,"{td} Driving on route 20, saw many white lights in a circle about waste high, with green lights in the center blinking erratically.",,
New York,NY,Albany NY,Yes,42.6664,-73.7987,6/2/2018,{jpg} Saw nice cloud with sun set then saw a jet in cloud and my eye then caught an object that was black but reflected sun light turned bright white emitted no vapor but then within a few minutes it just started emitting vapor. And was moving very slow.,,
