,Date Submitted,Date of Sighting,City,ST,Short Description
0,1/1/2018,1/1/2018,Bell Gardens , CA,{dr}hovering orb. jagged movement. disappeared into the sky... reduced in size then poof
1,1/1/2018,1/1/2018,Eureka, CA,{dr}Flying then split into two.
2,1/6/2018,1/1/2018,Los Angeles, CA,"{dr}After I park my truck in the driveway I felt something was above me, I looked up and saw one static object in the sky."
3,1/2/2018,1/1/2018,Sylmar, CA,"{dr}from 2nd story balcony red lights against mountain up down up down. very , fast moved, then back over houses"
4,1/1/2018,1/1/2018,Denver, CO,{dr}Approx. 12:10 am 1-1-18 we saw hovering above Lockheed Martin Orange then white then faded out
5,12/12/2018,1/1/2018,Coral Gables, FL,"{cak} saw a vertical rod, almost like a dumbbell, with a blue glowing body & a red glowing dot at the top of the vertical rod. It hovered still then descended perfectly, leaving a blue beam trail like a laser. It then glowed brighter and instantly vanished."
6,2/18/2018,1/1/2018,Davenport, FL,{rjl} Length of 3 football fields. Round object
7,1/1/2018,1/1/2018,Fort Myers, FL,"{dr}Daughter and I witnessed object descending, ejection of smaller object, then immediate ascending of object and disappeared"
8,1/1/2018,1/1/2018,Miami, FL,{dr}Noted 3 objects in sky SE of my position at Home outside adjacent to Tamami Airport at 1213 on 1/1/2018. Noted multiple changes in position from Hovering triangle to straight- positions. Numerous fireworks in area.
9,1/30/2018,1/1/2018,Ocala, FL,{td}Reptilian Aliens -attempting abduction of my brother ASAP! See pics.
10,1/1/2018,1/1/2018,Orlando, FL,{dr}Saw what looked like a big spotlight circle around and break up into 10 smaller lights which hovered for at least 1.5 hours
11,1/1/2018,1/1/2018,Orlando, FL,{dr}I was driving I 4 east noticed the lights they were stationary lights were shining out rather than if they were projected from the ground it caused traffic then I was too far to see it anymore. I thought It could have been sky lights
12,1/1/2018,1/1/2018,Palm Coast, FL,{dr}Glowing objects flying within fireworks then hover across sky then head out into clouds.
13,1/29/2018,1/1/2018,Roberts, ID,"{dr}Red beam chasing black ufo, also metallic hovering balls, and a huge glowing star like object."
14,1/2/2018,1/1/2018,Lowell, MA,{dr}Multiple hovering lights in semi-circle formation
15,1/1/2018,1/1/2018,Biddeford , ME,{dr}Hovering looked like it was struggling to stay afloat.
16,3/28/2018,1/1/2018,Inkster, MI,{td} this been going on for 5 years any given night near Detroit metro airport
17,1/1/2018,1/1/2018,Shoreview, MN,"{dr}At 2:10AM on 1/1/2018 I witnessed a peculiar light (cluster of 3 white lights and intermittent red light) from an east facing window in my home. I had my 29 year old son watch it with me. We observed for 1/2 hours hovering, bobbing, zooming, white and red lights."
18,2/4/2018,1/1/2018,Clinton, MO,{jpg} every night we see these 4-5 lights close to Orion they bounce around the sky all night
19,10/7/2018,1/1/2018,Saint Clair, MO,{tjd} Seen every night on the ground and in sky
20,1/15/2018,1/1/2018,Charlotte, NC,{rjl} Red Orange Candle flame shaped objects flying s from the north Up to 30.
21,1/1/2018,1/1/2018,Marshall, NC,{dr}I was looking out of my window because I was bored and noticed out of the corner of my eye a hovering orb.
22,1/31/2018,1/1/2018,Albuquerque, NM,"{td}Loose group of 10 objects slowly ascending, left convoluted trails in photo."
23,1/3/2018,1/1/2018,Las Vegas, NV,{dr}3 objects clearly Defining the laws of physics. Traveling at supersonic speed. Video of them flying by
24,1/2/2018,1/1/2018,Hartsdale, NY,{dr}Diamond like emitted light
25,1/3/2018,1/1/2018,Klamath Falls, OR,{dr}2 amber colored square or diamond shaped lights stationary in the sky just after New Year's
26,1/1/2018,1/1/2018,St. Helens, OR,{dr}Made 3 direction changes after traveling off and disappeared. Was bright blue and moved very fast. Visible for 3+ seconds. Over Oregon new
27,9/19/2018,1/1/2018,Pennsylvania, PA,{rjl} I have solved our mystery. Backed my satellite mapping and geographical land marks.
28,5/13/2018,1/1/2018,Manheim, PA,{cak} Saw the ufo cloak itself as I watched it fade to invisible.
29,1/9/2018,1/1/2018,Houston, TX,{cak} it walked from tree line to craft went inside flew away
30,1/3/2018,1/1/2018,Lynchburg, VA,{dr}Square flashing changing colors when zoomed an X appeared in the Box and floated around about 5 degrees
31,1/1/2018,1/1/2018,Burlington, WA,"{dr}Bright Orange star like but much brighter, floating into formation and then what seemed like they left one at a time away from me as the their magnitude dropped away."
32,1/18/2018,1/2/2018,IRWINDALE, CA,{rjl} JUST HOVERED ABOVE THE SIGNAL LIGHTS
33,1/3/2018,1/2/2018,Polk City, FL,{dr}Mutilated wild boars found along Florida road.
34,1/2/2018,1/2/2018,Northampton, MA,"{dr}Black wing, two bright lights on the under side, along each wing, little windows each had light inside, maybe 5 on each wing, looked like it had a small tall like you see on jets."
35,1/3/2018,1/2/2018,Shelby, NC,{dr}White light
36,1/3/2018,1/2/2018,Oakland, NJ,{dr}3 gold color lights with a trailing white light over Oakland N.J.
37,1/3/2018,1/2/2018,Brooklyn, NY,{dr}Plane-like with a gold ring and reflective jewel like middle.
38,1/3/2018,1/2/2018,Exton, PA,"{dr}Appeared as an unusual, rapidly pulsating star to the naked eye. Used telescope for closer view."
39,1/2/2018,1/2/2018,Cheney, WA,{dr}Bright lights blinded me but I seen through and I noticed a figures in all of the ships
40,4/18/2018,1/3/2018,Gravette, AR,"{cak} just got finished at the doctor and was watching the helicopter that was fixing to take off and decided to document it, very arranged things appeared in the photos and video"
41,7/30/2018,1/3/2018,Skull Valley, AZ,{rjl} Appeared above clouds at sunrise
42,1/3/2018,1/3/2018,Long beach, CA,{dr}Hovering while communication with me I walked outside and looked up. Abducted returned then bright light then flashed again over 500 ft with boom and rumble and then they don't. Talking to me.
43,1/4/2018,1/3/2018,Marina, CA,{dr}2 types. Glowing triangles in western sky. One blinking light flew in to it a disappeared. 2 others flying towards it. High in the sky. 2nd was a string of grey orbs (5) less than 100 feet overhead about the size of an yoga ball. West on freeway
44,2/9/2018,1/3/2018,San Diego, CA,{jpg} It was way above our atmosphere but it was massive in size like the size of a small City rectangular shaped completely covered in white lights like a checkerboard
45,1/3/2018,1/3/2018,New Britain, CT,{dr}flying across the sky in steady line
46,1/3/2018,1/3/2018,New Britain, CT,"{dr}Bright single solid car light, zooming across sky. NE straight-line direction with minimal 2-3 degree slight direction change towards NE. No blinking lights, no trails."
47,1/4/2018,1/3/2018,Doraville, GA,{dr}looked out window saw a solid golden light stopped and moved. Not sure for how long
48,1/16/2018,1/3/2018,Saint Charles, IL,{rjl} I saw a cigar object fly over our building. It had a light at both ends.
49,1/4/2018,1/3/2018,Brooklyn Park, MN,"{dr}Watched security camera footage, seen bright beam headed down to the ground."
